Address,Asset,Start_Block,Status,End_Block
0x7a16ff8270133f063aab6c9977183d9e72835428,wsteth,17432234,repaid,18647481.0
0x7a16ff8270133f063aab6c9977183d9e72835428,sfrxeth,18001239,forced-liquidation,18142320.0
0x7a16ff8270133f063aab6c9977183d9e72835428,tbtc,18001359,self-liquidation,19087064.0
0x7a16ff8270133f063aab6c9977183d9e72835428,ll_3,19425629,active,
0x7a16ff8270133f063aab6c9977183d9e72835428,ll_8,19872526,active,
0x7a16ff8270133f063aab6c9977183d9e72835428,ll_1,19925103,repaid,19939583.0
0x7a16ff8270133f063aab6c9977183d9e72835428,ll_0,19939646,active,
0x7a16ff8270133f063aab6c9977183d9e72835428,ll_9,19977199,repaid,19989760.0
0x7a16ff8270133f063aab6c9977183d9e72835428,ll_9,20025674,active,
0x975793c7a6a077221aca4e4fb9b7f9a46378463a,wsteth,17432332,active,
0x2761a575cf6ea58d9d59426f1733df573d92cf36,wsteth,17432369,self-liquidation,18199985.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,wsteth,18200057,self-liquidation,18352329.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,wsteth,18352344,self-liquidation,18572131.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,wsteth,18572192,repaid,18667633.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,wsteth,18667647,self-liquidation,18760229.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,wsteth,18760728,repaid,19209408.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,wbtc,17978725,repaid,18417182.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,ll_3,19785710,repaid,19785726.0
0x2761a575cf6ea58d9d59426f1733df573d92cf36,ll_3,19785741,repaid,19785746.0
0xc2d201037bdf8f7fe905f1073106bf4385b65a6f,wsteth,17432406,repaid,17530978.0
0xe057e6386047c690f6d2804ecd61e68441774bbc,wsteth,17432582,repaid,17939397.0
0xe057e6386047c690f6d2804ecd61e68441774bbc,wsteth,17939408,repaid,19419362.0
0xe057e6386047c690f6d2804ecd61e68441774bbc,sfrxeth,18010220,repaid,19423333.0
0x294125ebe0a93815a68e0165935c521275e2dc1e,wsteth,17432704,repaid,18685161.0
0xe06affb1369e248d4d093c8dedca6dc0ef281ed3,wsteth,17432707,repaid,17938909.0
0x63b1efc5602c0023bbb373f2350cf34c2e5f8669,wsteth,17432835,repaid,18238180.0
0x4f5ef03e870332a1b42453bbf57b8a041e89efe8,wsteth,17433349,repaid,17463751.0
0x8d82fef0d77d79e5231ae7bfcfeba2bacf127e2b,wsteth,17433432,active,
0x3c80a011d6dc046c46304c456e7f713e2efe2541,wsteth,17433539,repaid,17529408.0
0x9330afcb2f9d53883e565180bd5332e59efb4476,wsteth,17433578,repaid,18867117.0
0xaba7adcade9754304e558970089af59824135bdc,wsteth,17433827,forced-liquidation,17515016.0
0x7853eabb6cfa980ebfd27e3f77e69590ea53c0b7,wsteth,17434114,repaid,17557682.0
0x7d8dcaaec3eb3d1972717fe27e3f30b4b90f527d,wsteth,17435256,repaid,17740263.0
0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,wsteth,17435274,repaid,19486662.0
0xa9fc884430b4d28253ef198c9730f65b2062549c,wsteth,17435982,repaid,18314991.0
0xa9fc884430b4d28253ef198c9730f65b2062549c,wbtc,17958070,repaid,19605446.0
0xa9fc884430b4d28253ef198c9730f65b2062549c,ll_7,19605359,repaid,19605534.0
0x57655b342b7bf1a1134b572e43eb62bbe56bf7cf,wsteth,17436256,repaid,17436729.0
0x57655b342b7bf1a1134b572e43eb62bbe56bf7cf,wsteth,17663609,repaid,17688637.0
0x95f1872c2c63f54072bd42f68beee71e0d6f67d3,wsteth,17436793,active,
0x68671973ff4f652a0880cd72122908671d4ef04e,wsteth,17438000,repaid,18034759.0
0xb957dccaa1ccfb1eb78b495b499801d591d8a403,wsteth,17439229,forced-liquidation,17480596.0
0xb957dccaa1ccfb1eb78b495b499801d591d8a403,weth,19015573,repaid,19018364.0
0xb957dccaa1ccfb1eb78b495b499801d591d8a403,weth,19035237,repaid,19397630.0
0x3e909f4eba38ddc71aa72e1ba3be7edd312818c2,wsteth,17439372,forced-liquidation,17497576.0
0x3e909f4eba38ddc71aa72e1ba3be7edd312818c2,wbtc,19125686,repaid,19373652.0
0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,wsteth,17440928,self-liquidation,18813774.0
0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,wbtc,17557554,self-liquidation,17937592.0
0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,wbtc,17937610,forced-liquidation,18117736.0
0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,weth,17572639,repaid,17602187.0
0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,weth,17602192,forced-liquidation,17686211.0
0xae559b5835c4f79f6bddb64b04a7f651725a097d,wsteth,17441166,repaid,17815530.0
0xae559b5835c4f79f6bddb64b04a7f651725a097d,wsteth,17926285,repaid,18043953.0
0xae559b5835c4f79f6bddb64b04a7f651725a097d,wsteth,18049053,repaid,19617069.0
0xae559b5835c4f79f6bddb64b04a7f651725a097d,wbtc,18391125,active,
0xae559b5835c4f79f6bddb64b04a7f651725a097d,ll_0,19425857,active,
0xb1014b9c9bca58628f7c646818d4d250a4ca1d21,wsteth,17441496,repaid,18542379.0
0x07cae354a81c551797126f5356e6d022d7db373a,wsteth,17441836,active,
0x90cd03a2dc6bdbd6d24eeb69f3fdebaddd1459af,wsteth,17442086,active,
0xe2f1272e5f023b950b2283eb06c099cc17a2b4ad,wsteth,17442113,repaid,17571130.0
0xe2f1272e5f023b950b2283eb06c099cc17a2b4ad,wsteth,17813915,repaid,19345801.0
0x153d9dd730083e53615610a0d2f6f95ab5a0bc01,wsteth,17442759,active,
0xbe433100eab05c2fcd541f3ad897aa73e0b4d6ab,wsteth,17443125,active,
0xe1602cacdabcaa7b7c9baa9f485d8b64545b86b5,wsteth,17443355,repaid,17515026.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,wsteth,17445251,repaid,17743615.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,wsteth,17884495,repaid,18323786.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,wbtc,17584565,repaid,17743629.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,wbtc,17781510,self-liquidation,17991573.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,weth,18438197,repaid,18723453.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,weth,19164116,repaid,19336392.0
